date,Billetes.y.monedas,Ingreso.Mexico,TIIE28,TIIE91
1/1/2000,157161287,77.93002867,18.55,18.69
1/2/2000,150126022,77.36731601,18.15,18.12
1/3/2000,152919896,80.35795005,15.77,15.86
1/4/2000,158846323,77.00756379,14.74,15.1
1/5/2000,157679406,82.34330513,15.92,16.77
1/6/2000,165529481,81.54154495,17.44,17.73
1/7/2000,162172830,79.62972564,15.13,15.4
1/8/2000,157692618,81.19074104,16.62,16.84
1/9/2000,161376238,80.16487264,16.77,17.13
1/10/2000,162822860,80.80958458,17.38,17.99
1/11/2000,175112072,80.91618573,18.64,18.76
1/12/2000,208879867,79.4983014,18.39,18.39
1/1/2001,181718698,79.42345815,18.62,18.86
1/2/2001,175896436,76.41925803,18.12,18.36
1/3/2001,176028084,80.76787399,17.28,17.22
1/4/2001,174570670,77.53115471,16.36,16.31
1/5/2001,178269919,81.78408863,14.09,14.22
1/6/2001,180702903,80.60700763,11.64,11.9
1/7/2001,178256186,79.32531291,11.1,11.6
1/8/2001,178960066,80.58703206,9.29,10.22
1/9/2001,182150763,78.26957299,10.95,12.19
1/10/2001,181038815,79.97355149,10.34,11.16
1/11/2001,193892127,80.09389924,8.9,10.21
1/12/2001,225222732,79.09246904,7.94,8.87
1/1/2002,206861996,77.38628519,7.97,8.44
1/2/2002,202219512,75.10931544,8.99,9.06
1/3/2002,215888760,77.12227256,8.47,8.61
1/4/2002,201136312,80.83023525,6.85,7.12
1/5/2002,209329007,82.06994201,7.73,7.63
1/6/2002,211830242,79.72127029,8.42,8.65
1/7/2002,209417287,79.92718376,8.34,8.73
1/8/2002,210266104,80.30576052,7.61,7.95
1/9/2002,210993609,78.38017956,8.37,8.74
1/10/2002,213941744,81.60773821,8.67,9.1
1/11/2002,227456663,80.09518194,8.33,8.73
1/12/2002,263936897,80.49050665,8.26,8.64
1/1/2003,246101980,79.27240857,9.14,9.38
1/2/2003,241402098,77.17552598,9.91,9.85
1/3/2003,237849553,80.33977419,9.96,10.04
1/4/2003,243730756,79.95094291,8.58,8.7
1/5/2003,246356274,82.28842893,5.92,6.74
1/6/2003,240017485,81.44337652,5.79,6.19
1/7/2003,242514288,80.93570275,5.3,5.7
1/8/2003,242435364,79.41994828,4.97,5.54
1/9/2003,238702501,79.1887702,5.05,5.5
1/10/2003,247925945,81.87908362,5.6,5.93
1/11/2003,260002337,80.63448726,5.35,5.83
1/12/2003,303614089,83.33034323,6.4,6.57
1/1/2004,278373115,80.93012727,5.36,5.55
1/2/2004,273567978,79.19387501,5.79,6.07
1/3/2004,267424553,84.92788676,6.49,6.55
1/4/2004,273090802,82.93624765,6.17,6.37
1/5/2004,276652472,85.23905985,6.95,7.31
1/6/2004,278847001,85.62087225,7.02,7.59
1/7/2004,281999486,82.94022336,7.11,7.63
1/8/2004,277136443,83.13242008,7.5,7.84
1/9/2004,280788968,82.19748063,7.78,8.06
1/10/2004,285219272,84.3626462,8.05,8.46
1/11/2004,294824968,85.94149297,8.6,8.85
1/12/2004,340177672,86.23052623,8.93,9.03
1/1/2005,316646595,82.25840689,8.97,9.03
