Date,Frontera.norte,Noroeste,Noreste,Centro.norte,Centro.sur,Sur,Mexico,Nacional
01/01/2000,48.4306156097,47.1747068576,46.3450915867,44.4970269143,43.2805773145,44.3530978222,43.8746970815,44.93083012
01/02/2000,48.8593774775,47.5800303849,46.7631256378,44.8763700853,43.6697811421,44.7031103681,44.2750156687,45.32938031
01/03/2000,49.1350101103,47.8487587283,47.0471705226,45.1373232394,43.930437975,44.9446479511,44.4980719192,45.58068078
01/04/2000,49.4014252488,48.0996390221,47.3510712748,45.399441363,44.1725680751,45.053122914,44.7627965101,45.84001827
01/05/2000,49.2628655883,47.7315948998,47.4317072849,45.6480167171,44.4497564469,45.3661093381,45.0159694808,46.01137907
01/06/2000,49.5790849021,47.9918310236,47.7487947503,45.902125676,44.7222418802,45.6808313604,45.2666671076,46.28392024
01/07/2000,49.8185909236,48.184993016,47.9719079138,46.1052672178,44.9124971383,45.8620568605,45.3999232756,46.46446621
01/08/2000,50.122619367,48.4966142656,48.2511025211,46.3411735295,45.179139528,46.152914394,45.6258674324,46.71978519
01/09/2000,50.4935489309,48.8417725755,48.6650441382,46.692994298,45.5815970923,46.5658424152,45.8969179091,47.0610716
01/10/2000,50.8888602412,49.1841961081,49.0386677502,46.9951582453,45.9018244816,47.0330079203,46.1774572144,47.38513583
01/11/2000,51.6658052923,50.2003836396,49.6317668216,47.3206215808,46.1583484285,47.2661567682,46.4599217856,47.79028786
01/12/2000,52.0232059645,50.5348906962,50.1260413081,47.8330625126,46.6101155933,47.6748904295,47.0813713575,48.30767118
01/01/2001,52.4064750654,50.9027908825,50.6926153691,48.0753761561,46.8793232245,47.9530202322,47.2169653537,48.57547625
01/02/2001,52.6581719628,51.0739306782,50.9566528298,48.2524515072,47.0718586928,48.0568669279,46.7924433747,48.54332816
01/03/2001,53.024344113,51.1984352442,51.5793083291,48.4180227905,47.3603056174,48.3073717737,47.0835716649,48.85088778
01/04/2001,53.2216280933,51.3727416303,51.8107579284,48.6170869394,47.5642421517,48.4885972737,47.3978031906,49.09730863
01/05/2001,52.8536719109,50.6812735178,51.6014377594,48.8430910111,47.7436664014,48.6576735808,47.7512277078,49.20997046
01/06/2001,52.9239924293,50.7982934103,51.7260294896,48.9357060847,47.8724984275,48.8668133093,47.8697693127,49.32636377
01/07/2001,52.8150179288,50.6796902226,51.7111754891,48.8594005829,47.5918897354,48.701063568,47.7310123736,49.19820196
01/08/2001,53.0634441059,51.1486334189,51.9070057933,49.0208944732,47.7872754714,48.871586207,48.1519588524,49.48968755
01/09/2001,53.4071672141,51.5781381766,52.3567182731,49.5352284752,48.2947653429,49.2552983088,48.613060953,49.95038115
01/10/2001,53.6365637306,51.7600731667,52.4775207153,49.6742967043,48.5897678769,49.7045292833,48.8687092727,50.17613537
01/11/2001,54.3370928336,52.5809396668,52.8866120493,49.7191480267,48.7868637705,49.8951559482,48.8442308444,50.36514891
01/12/2001,54.4369985119,52.7671927348,53.0034736359,49.8347712412,48.800830078,50.0026184762,48.8665089653,50.43489879
01/01/2002,54.6837893233,53.3009070928,53.4606131132,50.0399514846,49.0507984106,50.342362058,49.5941234071,50.90047201
01/02/2002,54.9137805227,53.3304139525,53.7084324325,50.1897956808,49.2926434844,50.4018063368,49.1987555128,50.86774985
01/03/2002,55.1190926371,53.4880237764,53.8954715926,50.4491469969,49.5679791804,50.7600629821,49.4891962041,51.12794844
01/04/2002,55.354138589,53.6178539664,54.1572354795,50.6946643063,49.9140014825,50.6220828284,49.8470213362,51.40723497
01/05/2002,54.9201732967,52.7237240902,54.0649284701,50.9877997405,50.1629722181,50.8728769406,50.1144963127,51.51142923
01/06/2002,55.0484747855,52.8485165228,54.2434796323,51.1785634874,50.3871456429,51.0548256091,50.4811226795,51.76258618
01/07/2002,55.2757817036,53.0930371213,54.3966252296,51.2923745932,50.518630323,51.2188145049,50.6142813207,51.91118135
01/08/2002,55.5397423389,53.2411628912,54.6066759571,51.5320633732,50.6512264765,51.5524792416,50.7774912567,52.1085603
01/09/2002,55.7695368793,53.6215287075,54.9100825636,51.9274474289,50.9975898129,52.0481221122,51.0260958651,52.42198356
01/10/2002,55.9321013624,53.9574567929,55.1239326583,52.1661118978,51.2839571711,52.836551957,51.1534299328,52.65303609
01/11/2002,56.9361436951,56.0015924176,55.6308767914,52.3929967899,51.5678036898,53.0256116087,51.3717169059,53.07887728
01/12/2002,56.487024869,56.2391226701,55.7926212793,52.6813403436,51.9539962891,53.3071571981,51.7082426563,53.3099298
01/01/2003,56.8755264302,56.484059211,56.2078378337,52.7781377355,52.0265964644,53.6076087527,51.8972225821,53.52544068
01/02/2003,57.3968349081,56.5813990027,56.35818422,52.8134764658,52.058863209,53.5161447591,52.0872130958,53.67412245
01/03/2003,58.0410311138,56.9474812626,56.6583342261,53.1007957084,52.3684222898,53.8252828382,52.3949370928,54.01293041
01/04/2003,58.0399289818,57.1225870835,56.7945686772,53.0864553541,52.4596766768,53.3786932826,52.6197928869,54.1051442
01/05/2003,56.7350045889,55.0678710466,56.494961438,53.1525234152,52.6063895311,53.515633787,52.7461163668,53.93055967
01/06/2003,56.7702728157,55.1377017667,56.627396522,53.265197628,52.6784855385,53.6101636129,52.7107457924,53.9751124
01/07/2003,56.8777306944,55.2815953717,56.7457196708,53.4075768605,52.7606649036,53.6816996973,52.7294416674,54.0533387
01/08/2003,57.2750493123,55.4154375853,56.8379900163,53.5233240064,53.0031696559,53.9576245944,52.8320163331,54.21548991
01/09/2003,57.831626017,55.639213302,57.0523828777,53.912562196,53.2920578535,54.17785354,53.1407509178,54.53823816
01/10/2003,57.9462477542,55.795274381,57.2890291754,54.0027015662,53.5103625473,54.8794181394,53.3181090836,54.73820739
01/11/2003,59.0715246166,58.2769100476,57.8084569435,54.256218545,53.7286672411,55.0296439167,53.5389225263,55.19254161
01/12/2003,59.2842361097,58.4366742708,57.9555467294,54.5251001892,53.9812553511,55.2554935547,53.804201834,55.42981079
01/01/2004,59.4313707436,58.756731738,58.4505499943,54.8395636739,54.2666143735,55.3771048982,54.218037554,55.77431735
01/02/2004,59.8931640887,59.0159518353,58.7116207952,55.1089574736,54.5978526733,55.4568165351,54.6227779835,56.10794476
01/03/2004,60.2667868667,59.2640624999,58.8635954818,55.2595311943,54.8302740679,55.6944185298,54.7662814566,56.29807094
01/04/2004,60.4745387654,59.3899694043,58.985175231,55.3722054071,54.8963200607,55.3168101985,54.8688561223,56.38303195
01/05/2004,59.6776972654,57.0596336313,58.7132490954,55.5396802597,55.0208495281,55.3954998914,54.9527349129,56.24160294
01/06/2004,59.7410698604,57.112535692,58.7892364387,55.7225197778,55.0969788786,55.438421542,55.0295395886,56.33174451
01/07/2004,59.7884615403,57.4288900148,58.8825923176,55.9371129376,55.2371375504,55.7337633763,55.1472730719,56.47939018
01/08/2004,60.0948542609,57.7997334602,59.2147655611,56.3575926135,55.617280135,56.1829077921,55.4464070722,56.82804118
01/09/2004,60.5770370496,58.2546911821,59.6050148456,56.9040625455,56.1708564717,56.7138077329,55.8647904374,57.29791705
01/10/2004,60.9749067336,58.9000963224,59.9909219962,57.2743509811,56.5988950053,57.6095417043,56.1512920898,57.69474717
01/11/2004,62.2610948809,61.6684611579,60.4924384619,57.5263314934,56.8913123781,57.7909367756,56.3721055325,58.1868994
01/12/2004,62.2429097015,61.6806286319,60.6368144142,57.631835529,57.07432532,58.0040121127,56.5019660698,58.30708815
01/01/2005,62.1194709076,61.5891080669,60.7339696602,57.5785713557,56.9588708746,58.1246015122,56.5620960463,58.30916037
01/02/2005,62.2583395507,61.7689750732,60.8403519408,57.7608987182,57.2427173933,58.1496391418,56.8026159519,58.50343099
01/03/2005,62.6011026303,62.1043741379,61.0759127051,58.1055793782,57.5578223209,58.4214762626,56.9885641142,58.76712098
01/04/2005,63.0887960795,62.4101480487,61.3337269055,58.4302859732,57.6556308904,58.0995638827,57.1694593374,58.97641519
01/05/2005,61.92549566,60.0528322247,60.7638218308,58.6494885326,57.9147731828,58.3269464367,57.3372169186,58.82825146
01/06/2005,61.7959951396,60.0179168646,60.6791502197,58.5670314951,57.8078895914,58.34789629,57.3245845707,58.77178347
01/07/2005,61.8995955559,60.2009579946,61.0227215647,58.8292551176,58.0554360225,58.5717020399,57.5327656655,59.00179988
01/08/2005,61.9894193211,60.1946097473,60.9825568261,58.8589601373,58.1013153,58.7878432092,57.648477973,59.07225536
01/09/2005,62.2903013813,60.4781647926,61.1345315127,59.1222080708,58.3896993297,59.0417963089,57.8581749496,59.30900649
01/10/2005,62.4104337789,60.7294495808,61.3407828731,59.1611318898,58.6165748775,59.8532198952,57.886976703,59.45457994
01/11/2005,63.8437565601,63.4131711192,62.1723015154,59.2666359254,58.6634624907,59.8527089231,57.9789401963,59.88249335
01/12/2005,64.0652851099,63.7977691004,62.5164156272,59.6517768709,59.1086427324,60.2037467088,58.3543735784,60.25031239
01/01/2006,64.5210167285,64.0601633214,63.0787219676,59.9606066451,59.4403852001,60.6227437748,58.6368328794,60.60362589
01/02/2006,64.6742130888,64.1834251227,63.0201031599,60.0865969012,59.5916355654,60.7484428945,58.7197010822,60.69635773
01/03/2006,64.937622658,64.1606772366,63.0461559633,60.0891576787,59.6244064778,60.7647939996,58.8364239776,60.77251181
01/04/2006,65.6181892227,64.2246887301,63.0309584946,60.2392192439,59.5029020178,60.2466683595,58.9571892243,60.86161727
01/05/2006,64.0548148551,61.703376518,62.4187176144,60.3636730335,59.6420523538,60.4505462001,59.0233827278,60.59067451
01/06/2006,64.1732940546,61.6890929616,62.4350006165,60.3928658977,59.7040650035,60.4265305146,59.0986715218,60.64299806
01/07/2006,64.253198631,61.8800694006,62.5050175257,60.5424153074,59.8588445439,60.529235893,59.3376755456,60.80929371
01/08/2006,64.6042277012,62.357245988,62.825249901,60.8558544812,60.2273912672,60.9237063014,59.5746583938,61.11960865
01/09/2006,65.0335081497,63.0793591163,63.2996280298,61.4694167854,60.9775930788,61.5787724459,60.219413435,61.73661213
01/10/2006,64.8301647794,63.3385792136,63.6638245109,61.6445739707,61.4000857657,62.5966287329,60.4473009927,62.00651878
01/11/2006,66.119108257,65.9133225071,64.4030728078,61.5119256929,61.3718523641,62.5782337398,60.4816609792,62.3318573
01/12/2006,66.5583078942,66.1958195111,64.7390454185,61.8438024651,61.7827491897,62.9389799941,60.833850841,62.69242357
01/01/2007,66.8051854821,66.5185220813,65.3436875644,62.2750374068,62.0181955916,63.4106071793,61.0379895845,63.01620793
01/02/2007,67.0311225602,66.6740541397,65.5629653265,62.4727294347,62.1114666501,63.4238924521,61.2340436252,63.19234663
01/03/2007,67.4912627072,66.8719078466,65.4310730092,62.5951346022,62.2410377963,63.5879144742,61.3765365105,63.32911314
01/04/2007,67.5584927646,67.0136853692,64.7585850211,62.788729386,62.2158294021,63.0365756521,61.4781005883,63.29129513
01/05/2007,66.0595931242,64.1358132681,64.7547856539,62.7667066989,62.1800334824,62.8659109936,61.4518253045,62.98253436
01/06/2007,66.1158018607,64.2336820804,64.8492270663,62.747756945,62.2899420811,62.9144533366,61.5584423215,63.05817039
01/07/2007,66.2910408628,64.5331077439,65.1233242689,62.9838606363,62.5465635341,63.2011086463,61.856565734,63.32600481
01/08/2007,66.4954863652,64.8685068086,65.3675693009,63.2993484321,62.9075477391,63.5250649143,62.0490827173,63.58399619
01/09/2007,66.891702851,65.3250515923,65.7779009547,63.8089431672,63.5493534556,64.0876451211,62.5265854711,64.07770259
01/10/2007,67.1369272407,65.5779234423,66.6441566682,63.9287875572,63.6365744995,64.9067332878,62.5892419171,64.32740509
01/11/2007,68.7923296378,68.6525912092,66.8167564908,64.1290403626,63.856391697,64.9108210641,62.7630630254,64.78122126
01/12/2007,69.0248795084,68.8996438326,67.0349487194,64.3758993197,64.1180548289,65.2082067865,63.0652287892,65.04905568
01/01/2008,69.2976572004,69.3011704731,67.4887017122,64.6642428734,64.2879594058,65.5505580476,63.3532463233,65.35056368
01/02/2008,69.4392811737,69.4138518624,67.6499034334,64.7431148223,64.4649223331,65.5679310967,63.668549729,65.5448343
01/03/2008,69.7313461772,69.83019108,68.1242815622,65.2568068015,65.1087447211,66.040580226,64.1177560234,66.01989072
01/04/2008,69.9231171606,70.1121590634,67.5619752218,65.5738310638,65.352761977,65.6501975938,64.4608505947,66.17012666
01/05/2008,68.7184867878,67.4622948438,67.8501843596,65.7295263397,65.5720750066,65.9736428898,64.6190075914,66.09863507
01/06/2008,68.9620579794,67.725747106,68.1829003699,66.0767677773,65.8201256056,66.2746054164,64.8504322065,66.3721681
01/07/2008,69.2767166907,68.2346649298,68.575863488,66.471127522,66.105484628,66.6292200064,65.2273814704,66.74205936
01/08/2008,69.6101116475,68.604450334,68.931918468,66.8490982904,66.5310023222,67.0410634639,65.6205001397,67.12749227
01/09/2008,70.0487602187,68.9557200169,69.3400790549,67.3044045411,67.0230701771,67.3619538997,66.12074112,67.58493481
01/10/2008,70.6935074905,69.2197012997,70.4087867616,67.602991205,67.5111046889,68.2239637171,66.3481233837,68.04548569
01/11/2008,72.4993509176,72.7948225606,71.026998076,67.9061872685,68.0581268431,68.7323808885,66.8832296444,68.81894178
01/12/2008,72.1516282437,73.262476777,71.4932347038,68.3707123185,68.7881619393,69.3956225855,67.4567382429,69.29555236
01/01/2009,72.6597111365,73.4693238343,72.0110341716,68.4055388934,68.8184120124,69.6536634615,67.487561172,69.45614941
01/02/2009,73.4890655332,73.6259139339,72.1695220591,68.4967025746,68.7861452678,69.6408891607,67.5865987802,69.60949368
01/03/2009,74.021946398,74.0554786667,72.5445738749,68.7512438644,69.2081337868,70.259165319,67.9797174495,70.00995018
01/04/2009,74.1415277296,74.6310530869,72.182005694,69.1425306761,69.5176928676,70.0961652409,68.3955743452,70.25499019
01/05/2009,72.5021062479,71.6166936692,72.2536509034,69.2260120247,69.7057474884,70.2014254794,68.5072443014,70.05035847
01/06/2009,72.7104092126,71.8436435095,72.4295073265,69.2859342196,69.7849018462,70.2729615638,68.6431683657,70.17935416
01/07/2009,72.865258771,71.9991755679,72.6618114902,69.6454673895,69.9069104741,70.4129679005,68.7897036024,70.37051645
01/08/2009,72.9914528952,72.1123859778,72.8561219824,69.9148611892,70.1030317811,70.6684539163,68.8953100315,70.53888432
01/09/2009,73.139138595,72.4869325674,73.1014525479,70.2585175382,70.6077038331,71.1191312482,69.2697328258,70.89271587
01/10/2009,73.3402777012,72.5086224123,74.0398962375,70.3117817115,70.7483666727,71.8217177917,69.2853969373,71.10719063
01/11/2009,75.0739314765,75.7747956388,74.1044854793,70.3271463769,70.7332416362,71.8983635964,69.3788763124,71.47604578
01/12/2009,75.2965621584,76.0424800659,74.3362468764,70.6518529719,70.9923839286,72.0945768565,69.7315714682,71.77185517
01/01/2010,75.9501264869,76.6963495359,75.1118605447,71.527126743,71.8308151199,73.1160099477,70.4546470669,72.55204598
01/02/2010,76.3198918026,77.0439160746,75.5097085635,71.9783357497,72.1771784563,73.3679191593,70.9402345234,72.97167051
01/03/2010,76.6758804672,77.5612982281,75.9569483555,72.4428607997,72.739325647,73.9044397925,71.525870176,73.48972549
01/04/2010,76.6891060523,77.5036349819,75.1509397498,72.3604037622,72.4363207487,73.2192262981,71.4308749192,73.25556464
01/05/2010,74.9262457766,74.1343027371,74.630969215,72.1596388012,72.3107829456,73.0546933039,71.413189632,72.79397765
01/06/2010,74.8882222196,74.0501884606,74.4138625199,72.1581023346,72.2613744929,72.82986561,71.5006054801,72.77118323
01/07/2010,75.0226823344,74.394051855,74.5430410035,72.3691104059,72.4726208364,72.9049784987,71.620360139,72.92919
01/08/2010,75.1824914872,74.6527429318,74.8475331434,72.5883129653,72.7126047492,73.2907623825,71.7396095039,73.1317495
