Date,InflacionNacional,Salarios,Precios.EUA,Tipo.de.cambio,Industria.EUA,Actividades.Primarioas,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo,Billetes.y.monedas,Ingreso.Mexico,TIIE28,TIIE91
1/1/2000,44.93083012,91.1331,168.8,9.4793,90.46546,97.68293667,89.18938785,70.79859405,105.6759117,87.89587317,83.72000207,52.04923176,,157161287,77.93002867,18.55,18.69
1/2/2000,45.32938031,90.3318,169.8,9.4456,90.71638,71.46230372,88.97707697,71.33815274,95.46215042,90.93187966,86.23537443,51.28142694,,150126022,77.36731601,18.15,18.12
1/3/2000,45.58068078,89.8338,171.2,9.2959,91.06192,75.02932688,92.54516681,73.9850482,105.6354699,94.63708616,83.50798468,53.41032726,,152919896,80.35795005,15.77,15.86
1/4/2000,45.84001827,89.3255,171.3,9.3748,91.73168,66.05232364,85.82142342,72.7565837,101.8218863,85.72060735,77.365379,53.20141251,,158846323,77.00756379,14.74,15.1
1/5/2000,46.01137907,88.9928,171.5,9.5081,91.87799,86.49481193,91.38453707,77.20699908,105.6679758,93.89009462,79.55960162,56.07195034,,157679406,82.34330513,15.92,16.77
1/6/2000,46.28392024,88.4688,172.4,9.7978,91.96857,87.2973812,91.16796274,76.00547697,102.5638786,93.75992863,81.71454414,56.82728535,,165529481,81.54154495,17.44,17.73
1/7/2000,46.46446621,88.1251,172.8,9.4688,91.83582,71.02203701,91.72600226,73.47165526,99.32487536,95.5284585,83.3785009,57.06542872,,162172830,79.62972564,15.13,15.4
1/8/2000,46.71978519,87.6435,172.8,9.2846,91.56587,63.10900986,95.54341012,74.28055536,108.3944506,94.70291997,92.6912078,57.82074525,,157692618,81.19074104,16.62,16.84
1/9/2000,47.0610716,87.0079,173.7,9.3319,91.91862,61.61035809,93.85349852,73.64038974,104.6747906,93.38495102,91.69596063,58.35177854,,161376238,80.16487264,16.77,17.13
1/10/2000,47.38513583,86.4128,174,9.5182,91.64292,69.86451153,91.43746531,75.56953318,98.8442545,95.26778341,82.99979475,57.83800843,,162822860,80.80958458,17.38,17.99
1/11/2000,47.79028786,85.6802,174.1,9.5179,91.6606,91.53813406,89.18026287,75.87726696,98.60336095,92.96328943,78.7671635,56.3491225,,175112072,80.91618573,18.64,18.76
1/12/2000,48.30767118,84.7626,174,9.4439,91.41669,104.6341719,86.05182629,74.66001713,103.9380603,84.45574773,78.827259,54.19761153,,208879867,79.4983014,18.39,18.39
1/1/2001,48.57547625,90.1758,175.1,9.7701,90.82906,89.17956017,90.56842112,72.85822868,108.6786929,92.09198078,77.35635194,54.41724591,,181718698,79.42345815,18.62,18.86
1/2/2001,48.54332816,90.2355,175.8,9.7027,90.27698,70.99750202,86.75003695,71.06272436,99.10043583,89.30088868,76.29562715,53.29755215,,175896436,76.41925803,18.12,18.36
1/3/2001,48.85088778,89.6674,176.2,9.6182,90.03663,77.87205877,91.08970161,75.28890456,110.2996903,92.99722982,75.95139327,55.24167309,,176028084,80.76787399,17.28,17.22
1/4/2001,49.09730863,89.2174,176.9,9.3508,89.77859,73.66007416,83.27774461,74.59463728,100.6310509,85.34786156,67.85543386,55.89845925,,174570670,77.53115471,16.36,16.31
1/5/2001,49.20997046,89.0131,177.7,9.1467,89.22863,88.92847936,88.42471914,77.80515205,104.5109894,92.49650565,70.46073146,58.50732575,,178269919,81.78408863,14.09,14.22
1/6/2001,49.32636377,88.8031,178,9.0957,88.69788,95.95649154,88.09768709,75.75127555,104.271652,90.28069397,73.71135287,59.96164383,,180702903,80.60700763,11.64,11.9
1/7/2001,49.19820196,89.0344,177.5,9.156,88.19651,77.28792746,89.68919762,73.78015723,108.832789,88.55146829,79.81128728,60.21471008,,178256186,79.32531291,11.1,11.6
1/8/2001,49.48968755,88.51,177.5,9.1272,88.07653,72.99001924,92.73368463,74.35056844,108.7711036,90.89109854,87.61763652,61.76153218,,178960066,80.58703206,9.29,10.22
1/9/2001,49.95038115,87.6937,178.3,9.3841,87.73992,67.73800116,90.2033464,72.29702805,104.0756049,88.33269707,86.78303137,61.3498059,,182150763,78.26957299,10.95,12.19
1/10/2001,50.17613537,87.2991,177.7,9.3685,87.35989,74.44063095,88.9241532,75.37475451,102.9363352,90.99681444,76.77474272,61.0747591,,181038815,79.97355149,10.34,11.16
1/11/2001,50.36514891,86.9715,177.4,9.2223,86.92414,109.5636115,87.54402187,74.54857342,104.1104486,88.91148654,74.49772483,59.51661014,,193892127,80.09389924,8.9,10.21
1/12/2001,50.43489879,86.8512,176.7,9.1672,86.95267,104.3373201,85.84359363,74.14100903,110.5277565,81.73704667,76.72574875,57.75724216,,225222732,79.09246904,7.94,8.87
1/1/2002,50.90047201,91.0273,177.1,9.1614,87.50322,91.80873702,86.94423835,71.45070789,110.922522,85.84444865,72.93747368,54.69858221,,206861996,77.38628519,7.97,8.44
1/2/2002,50.86774985,91.0859,177.8,9.1062,87.48563,77.92186888,83.08938255,70.61878253,98.1544908,83.79051806,73.17834184,53.64086102,,202219512,75.10931544,8.99,9.06
1/3/2002,51.12794844,90.6224,178.8,9.0809,88.18826,76.29776769,84.52261531,73.13098,107.24483,84.70983308,68.54315862,54.41079902,,215888760,77.12227256,8.47,8.61
1/4/2002,51.40723497,90.13,179.8,9.1317,88.55359,74.74049734,87.37779398,77.56905225,104.7061128,89.36019195,72.87883116,56.46214184,,201136312,80.83023525,6.85,7.12
1/5/2002,51.51142923,89.9477,179.8,9.4899,88.92372,88.61276647,87.5382297,78.76019932,108.0746782,88.70403576,71.11260987,59.63861698,,209329007,82.06994201,7.73,7.63
1/6/2002,51.76258618,89.5113,179.9,9.7378,89.77245,91.79164106,85.90853622,75.74111485,104.6892145,86.43993721,72.06845413,60.18069285,,211830242,79.72127029,8.42,8.65
1/7/2002,51.91118135,89.255,180.1,9.7978,89.55909,80.66635007,88.16122113,75.4027526,107.0380968,87.67237058,76.6458333,61.21920201,,209417287,79.92718376,8.34,8.73
1/8/2002,52.1085603,88.917,180.7,9.8258,89.55794,70.919566,90.83059477,75.04329332,109.321864,89.07860949,82.97283577,60.90393463,,210266104,80.30576052,7.61,7.95
1/9/2002,52.42198356,88.3853,181,10.0425,89.68542,65.95274821,88.66900201,73.39961409,102.9354459,87.00990781,84.17665195,61.03658598,,210993609,78.38017956,8.37,8.74
1/10/2002,52.65303609,87.9975,181.3,10.0961,89.41711,74.93384271,91.26659868,76.68048051,109.9969555,92.02484828,78.08751072,60.10198287,,213941744,81.60773821,8.67,9.1
1/11/2002,53.07887728,87.2915,181.3,10.2032,89.87678,101.3319959,86.97647347,75.27480213,101.0281081,89.22315919,74.79467387,57.26363942,,227456663,80.09518194,8.33,8.73
1/12/2002,53.3099298,86.9132,180.9,10.1982,89.44439,103.0306564,85.88097415,76.4168666,109.7696156,82.33601004,76.46406937,57.10866581,,263936897,80.49050665,8.26,8.64
1/1/2003,53.52544068,90.4623,181.7,10.5762,89.96371,95.03242731,87.55965964,73.96188925,113.2279424,84.1167786,76.61109123,56.89554179,,246101980,79.27240857,9.14,9.38
1/2/2003,53.67412245,90.2117,183.1,10.9216,90.25008,79.45664687,85.7901702,72.365963,102.2072828,83.69882979,80.62187264,55.90913621,,241402098,77.17552598,9.91,9.85
1/3/2003,54.01293041,89.6458,184.2,10.9427,90.04594,77.90421408,89.6377404,75.39556456,114.2631951,87.02949644,78.07063536,58.15829454,,237849553,80.33977419,9.96,10.04
1/4/2003,54.1051442,89.493,183.8,10.6324,89.41817,76.30862345,86.58879124,76.51720008,107.3922571,84.84293861,76.28858978,57.7844985,,243730756,79.95094291,8.58,8.7
1/5/2003,53.93055967,89.7827,183.5,10.2506,89.43613,87.63843021,88.7385824,78.50373545,112.4511329,88.04951858,73.11394266,61.43830064,,246356274,82.28842893,5.92,6.74
1/6/2003,53.9751124,89.7086,183.7,10.4953,89.58426,100.7289205,88.50998848,76.62035448,110.2867304,87.15546716,75.88159686,62.52288274,,240017485,81.44337652,5.79,6.19
