Date,InflacionNacional,Salarios,Precios.EUA,Tipo.de.cambio,Industria.EUA,Actividades.Primarioas,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo,Billetes.y.monedas,Ingreso.Mexico,TIIE28,TIIE91
01/01/2000,44.93083012,103.6639,168.8,9.4793,90.46546,97.68293667,89.18938785,70.79859405,105.6759,87.8959,83.72,52.0492,,157161287,77.93002867,18.55,18.69
01/02/2000,45.32938031,102.7525,169.8,9.4456,90.71638,71.46230372,88.97707697,71.33815274,95.4622,90.9319,86.2354,51.2814,,150126022,77.36731601,18.15,18.12
01/03/2000,45.58068078,102.186,171.2,9.2959,91.06192,75.02932688,92.54516681,73.9850482,105.6355,94.6371,83.508,53.4103,,152919896,80.35795005,15.77,15.86
01/04/2000,45.84001827,101.6079,171.3,9.3748,91.73168,66.05232364,85.82142342,72.7565837,101.8219,85.7206,77.3654,53.2014,,158846323,77.00756379,14.74,15.1
01/05/2000,46.01137907,101.2294,171.5,9.5081,91.87799,86.49481193,91.38453707,77.20699908,105.668,93.8901,79.5596,56.072,,157679406,82.34330513,15.92,16.77
01/06/2000,46.28392024,100.6334,172.4,9.7978,91.96857,87.2973812,91.16796274,76.00547697,102.5639,93.7599,81.7145,56.8273,,165529481,81.54154495,17.44,17.73
01/07/2000,46.46446621,100.2423,172.8,9.4688,91.83582,71.02203701,91.72600226,73.47165526,99.3249,95.5285,83.3785,57.0654,,162172830,79.62972564,15.13,15.4
01/08/2000,46.71978519,99.6945,172.8,9.2846,91.56587,63.10900986,95.54341012,74.28055536,108.3945,94.7029,92.6912,57.8207,,157692618,81.19074104,16.62,16.84
01/09/2000,47.0610716,98.9715,173.7,9.3319,91.91862,61.61035809,93.85349852,73.64038974,104.6748,93.385,91.696,58.3518,,161376238,80.16487264,16.77,17.13
01/10/2000,47.38513583,98.2947,174,9.5182,91.64292,69.86451153,91.43746531,75.56953318,98.8443,95.2678,82.9998,57.838,,162822860,80.80958458,17.38,17.99
01/11/2000,47.79028786,97.4614,174.1,9.5179,91.6606,91.53813406,89.18026287,75.87726696,98.6034,92.9633,78.7672,56.3491,,175112072,80.91618573,18.64,18.76
01/12/2000,48.30767118,96.4175,174,9.4439,91.41669,104.6341719,86.05182629,74.66001713,103.9381,84.4557,78.8273,54.1976,,208879867,79.4983014,18.39,18.39
01/01/2001,48.57547625,102.5751,175.1,9.7701,90.82906,89.17956017,90.56842112,72.85822868,108.6787,92.092,77.3564,54.4172,,181718698,79.42345815,18.62,18.86
01/02/2001,48.54332816,102.643,175.8,9.7027,90.27698,70.99750202,86.75003695,71.06272436,99.1004,89.3009,76.2956,53.2976,,175896436,76.41925803,18.12,18.36
01/03/2001,48.85088778,101.9968,176.2,9.6182,90.03663,77.87205877,91.08970161,75.28890456,110.2997,92.9972,75.9514,55.2417,,176028084,80.76787399,17.28,17.22
01/04/2001,49.09730863,101.4848,176.9,9.3508,89.77859,73.66007416,83.27774461,74.59463728,100.6311,85.3479,67.8554,55.8985,,174570670,77.53115471,16.36,16.31
01/05/2001,49.20997046,101.2525,177.7,9.1467,89.22863,88.92847936,88.42471914,77.80515205,104.511,92.4965,70.4607,58.5073,,178269919,81.78408863,14.09,14.22
01/06/2001,49.32636377,101.0136,178,9.0957,88.69788,95.95649154,88.09768709,75.75127555,104.2717,90.2807,73.7114,59.9616,,180702903,80.60700763,11.64,11.9
01/07/2001,49.19820196,101.2767,177.5,9.156,88.19651,77.28792746,89.68919762,73.78015723,108.8328,88.5515,79.8113,60.2147,,178256186,79.32531291,11.1,11.6
01/08/2001,49.48968755,100.6802,177.5,9.1272,88.07653,72.99001924,92.73368463,74.35056844,108.7711,90.8911,87.6176,61.7615,,178960066,80.58703206,9.29,10.22
01/09/2001,49.95038115,99.7516,178.3,9.3841,87.73992,67.73800116,90.2033464,72.29702805,104.0756,88.3327,86.783,61.3498,,182150763,78.26957299,10.95,12.19
01/10/2001,50.17613537,99.3028,177.7,9.3685,87.35989,74.44063095,88.9241532,75.37475451,102.9363,90.9968,76.7747,61.0748,,181038815,79.97355149,10.34,11.16
01/11/2001,50.36514891,98.9302,177.4,9.2223,86.92414,109.5636115,87.54402187,74.54857342,104.1104,88.9115,74.4977,59.5166,,193892127,80.09389924,8.9,10.21
01/12/2001,50.43489879,98.7933,176.7,9.1672,86.95267,104.3373201,85.84359363,74.14100903,110.5278,81.737,76.7257,57.7572,,225222732,79.09246904,7.94,8.87
01/01/2002,50.90047201,103.5437,177.1,9.1614,87.50322,91.80873702,86.94423835,71.45070789,110.9225,85.8444,72.9375,54.6986,,206861996,77.38628519,7.97,8.44
01/02/2002,50.86774985,103.6103,177.8,9.1062,87.48563,77.92186888,83.08938255,70.61878253,98.1545,83.7905,73.1783,53.6409,,202219512,75.10931544,8.99,9.06
01/03/2002,51.12794844,103.083,178.8,9.0809,88.18826,76.29776769,84.52261531,73.13098,107.2448,84.7098,68.5432,54.4108,,215888760,77.12227256,8.47,8.61
01/04/2002,51.40723497,102.523,179.8,9.1317,88.55359,74.74049734,87.37779398,77.56905225,104.7061,89.3602,72.8788,56.4621,,201136312,80.83023525,6.85,7.12
01/05/2002,51.51142923,102.3156,179.8,9.4899,88.92372,88.61276647,87.5382297,78.76019932,108.0747,88.704,71.1126,59.6386,,209329007,82.06994201,7.73,7.63
01/06/2002,51.76258618,101.8192,179.9,9.7378,89.77245,91.79164106,85.90853622,75.74111485,104.6892,86.4399,72.0685,60.1807,,211830242,79.72127029,8.42,8.65
01/07/2002,51.91118135,101.5277,180.1,9.7978,89.55909,80.66635007,88.16122113,75.4027526,107.0381,87.6724,76.6458,61.2192,,209417287,79.92718376,8.34,8.73
01/08/2002,52.1085603,101.1431,180.7,9.8258,89.55794,70.919566,90.83059477,75.04329332,109.3219,89.0786,82.9728,60.9039,,210266104,80.30576052,7.61,7.95
01/09/2002,52.42198356,100.5384,181,10.0425,89.68542,65.95274821,88.66900201,73.39961409,102.9354,87.0099,84.1767,61.0366,,210993609,78.38017956,8.37,8.74
01/10/2002,52.65303609,100.0972,181.3,10.0961,89.41711,74.93384271,91.26659868,76.68048051,109.997,92.0248,78.0875,60.102,,213941744,81.60773821,8.67,9.1
01/11/2002,53.07887728,99.2942,181.3,10.2032,89.87678,101.3319959,86.97647348,75.27480213,101.0281,89.2232,74.7947,57.2636,,227456663,80.09518194,8.33,8.73
01/12/2002,53.3099298,98.8638,180.9,10.1982,89.44439,103.0306564,85.88097415,76.4168666,109.7696,82.336,76.4641,57.1087,,263936897,80.49050665,8.26,8.64
01/01/2003,53.52544068,102.9009,181.7,10.5762,89.96371,95.03242731,87.55965964,73.96188925,113.2279,84.1168,76.6111,56.8955,,246101980,79.27240857,9.14,9.38
01/02/2003,53.67412245,102.6159,183.1,10.9216,90.25008,79.45664687,85.7901702,72.365963,102.2073,83.6988,80.6219,55.9091,,241402098,77.17552598,9.91,9.85
01/03/2003,54.01293041,101.9722,184.2,10.9427,90.04594,77.90421408,89.6377404,75.39556456,114.2632,87.0295,78.0706,58.1583,,237849553,80.33977419,9.96,10.04
01/04/2003,54.1051442,101.7984,183.8,10.6324,89.41817,76.30862345,86.58879124,76.51720008,107.3923,84.8429,76.2886,57.7845,,243730756,79.95094291,8.58,8.7
01/05/2003,53.93055967,102.1279,183.5,10.2506,89.43613,87.63843021,88.7385824,78.50373545,112.4511,88.0495,73.1139,61.4383,,246356274,82.28842893,5.92,6.74
01/06/2003,53.9751124,102.0437,183.7,10.4953,89.58426,100.7289205,88.50998848,76.62035448,110.2867,87.1555,75.8816,62.5229,,240017485,81.44337652,5.79,6.19
01/07/2003,54.0533387,101.896,183.9,10.4434,89.97188,86.29448942,89.92035933,75.76937772,113.4588,86.9609,79.043,63.8669,,242514288,80.93570275,5.3,5.7
01/08/2003,54.21548991,101.5912,184.6,10.7327,89.83575,70.41856852,90.56314967,73.80110351,114.4863,86.5494,81.8255,63.2079,,242435364,79.41994828,4.97,5.54
01/09/2003,54.53823816,100.99,185.2,10.9255,90.36728,68.49829559,89.76944086,73.96161373,109.448,87.5341,81.2702,62.5163,,238702501,79.1887702,5.05,5.5
01/10/2003,54.73820739,100.6211,185,11.1704,90.50139,69.0315562,92.1142122,76.94895277,113.698,91.3902,79.2033,61.7828,,247925945,81.87908362,5.6,5.93
01/11/2003,55.19254161,99.7928,184.5,11.1145,91.20064,109.7181321,87.16167484,75.61157778,109.5409,86.3826,72.8607,60.5479,,260002337,80.63448726,5.35,5.83
01/12/2003,55.42981079,99.3656,184.3,11.2629,91.12926,111.1120654,89.23808916,78.71062143,115.3143,85.4502,78.7124,58.1908,,303614089,83.33034323,6.4,6.57
01/01/2004,55.77431735,102.9535,185.2,10.9308,91.36808,106.6980003,90.62396031,74.34866357,116.6562,84.8867,83.5994,63,,278373115,80.93012727,5.36,5.55
01/02/2004,56.10794476,102.3413,186.2,11.0128,91.91373,87.08821729,87.63734862,74.19467159,107.8778,84.0907,81.1006,61.8391,,273567978,79.19387501,5.79,6.07
01/03/2004,56.29807094,101.9957,187.4,10.9984,91.45934,79.05485845,95.1665419,79.64430164,115.9596,92.7563,86.4438,65.6008,,267424553,84.92788676,6.49,6.55
01/04/2004,56.38303195,101.842,188,11.2535,91.87078,78.56885843,90.99718579,78.76353106,112.5154,87.6864,82.9185,64.319,,273090802,82.93624765,6.17,6.37
01/05/2004,56.24160294,102.0981,189.1,11.5119,92.60145,90.34383817,91.87466454,81.36566376,115.71,89.4365,79.2702,67.4811,,276652472,85.23905985,6.95,7.31
01/06/2004,56.33174451,101.9347,189.7,11.379,91.84187,98.24648064,92.86591021,81.03629385,113.1284,90.9028,82.5137,69.1705,,278847001,85.62087225,7.02,7.59
01/07/2004,56.47939018,101.6683,189.4,11.4735,92.5464,83.48873062,92.17359664,77.88080935,112.7953,89.2658,83.0474,70.6741,,281999486,82.94022336,7.11,7.63
01/08/2004,56.82804118,101.0445,189.5,11.3957,92.61634,68.02182577,93.28556627,78.36103023,113.6482,90.8364,83.5961,70.962,,277136443,83.13242008,7.5,7.84
01/09/2004,57.29791705,100.2159,189.9,11.4858,92.69665,65.611203,93.59537285,76.82213908,111.7593,91.0103,86.4769,70.3452,,280788968,82.19748063,7.78,8.06
