Date,Actividades.Primarioas,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo
1/1/2000,97.68293667,89.18938785,70.79859405,105.6759,87.8959,83.72,52.0492,
1/2/2000,71.46230372,88.97707697,71.33815274,95.4622,90.9319,86.2354,51.2814,
1/3/2000,75.02932688,92.54516681,73.9850482,105.6355,94.6371,83.508,53.4103,
1/4/2000,66.05232364,85.82142342,72.7565837,101.8219,85.7206,77.3654,53.2014,
1/5/2000,86.49481193,91.38453707,77.20699908,105.668,93.8901,79.5596,56.072,
1/6/2000,87.2973812,91.16796274,76.00547697,102.5639,93.7599,81.7145,56.8273,
1/7/2000,71.02203701,91.72600226,73.47165526,99.3249,95.5285,83.3785,57.0654,
1/8/2000,63.10900986,95.54341012,74.28055536,108.3945,94.7029,92.6912,57.8207,
1/9/2000,61.61035809,93.85349852,73.64038974,104.6748,93.385,91.696,58.3518,
1/10/2000,69.86451153,91.43746531,75.56953318,98.8443,95.2678,82.9998,57.838,
1/11/2000,91.53813406,89.18026287,75.87726696,98.6034,92.9633,78.7672,56.3491,
1/12/2000,104.6341719,86.05182629,74.66001713,103.9381,84.4557,78.8273,54.1976,
1/1/2001,89.17956017,90.56842112,72.85822868,108.6787,92.092,77.3564,54.4172,
1/2/2001,70.99750202,86.75003695,71.06272436,99.1004,89.3009,76.2956,53.2976,
1/3/2001,77.87205877,91.08970161,75.28890456,110.2997,92.9972,75.9514,55.2417,
1/4/2001,73.66007416,83.27774461,74.59463728,100.6311,85.3479,67.8554,55.8985,
1/5/2001,88.92847936,88.42471914,77.80515205,104.511,92.4965,70.4607,58.5073,
1/6/2001,95.95649154,88.09768709,75.75127555,104.2717,90.2807,73.7114,59.9616,
1/7/2001,77.28792746,89.68919762,73.78015723,108.8328,88.5515,79.8113,60.2147,
1/8/2001,72.99001924,92.73368463,74.35056844,108.7711,90.8911,87.6176,61.7615,
1/9/2001,67.73800116,90.2033464,72.29702805,104.0756,88.3327,86.783,61.3498,
1/10/2001,74.44063095,88.9241532,75.37475451,102.9363,90.9968,76.7747,61.0748,
1/11/2001,109.5636115,87.54402187,74.54857342,104.1104,88.9115,74.4977,59.5166,
1/12/2001,104.3373201,85.84359363,74.14100903,110.5278,81.737,76.7257,57.7572,
1/1/2002,91.80873702,86.94423835,71.45070789,110.9225,85.8444,72.9375,54.6986,
1/2/2002,77.92186888,83.08938255,70.61878253,98.1545,83.7905,73.1783,53.6409,
1/3/2002,76.29776769,84.52261531,73.13098,107.2448,84.7098,68.5432,54.4108,
1/4/2002,74.74049734,87.37779398,77.56905225,104.7061,89.3602,72.8788,56.4621,
1/5/2002,88.61276647,87.5382297,78.76019932,108.0747,88.704,71.1126,59.6386,
1/6/2002,91.79164106,85.90853622,75.74111485,104.6892,86.4399,72.0685,60.1807,
1/7/2002,80.66635007,88.16122113,75.4027526,107.0381,87.6724,76.6458,61.2192,
1/8/2002,70.919566,90.83059477,75.04329332,109.3219,89.0786,82.9728,60.9039,
1/9/2002,65.95274821,88.66900201,73.39961409,102.9354,87.0099,84.1767,61.0366,
1/10/2002,74.93384271,91.26659868,76.68048051,109.997,92.0248,78.0875,60.102,
1/11/2002,101.3319959,86.97647348,75.27480213,101.0281,89.2232,74.7947,57.2636,
1/12/2002,103.0306564,85.88097415,76.4168666,109.7696,82.336,76.4641,57.1087,
1/1/2003,95.03242731,87.55965964,73.96188925,113.2279,84.1168,76.6111,56.8955,
1/2/2003,79.45664687,85.7901702,72.365963,102.2073,83.6988,80.6219,55.9091,
1/3/2003,77.90421408,89.6377404,75.39556456,114.2632,87.0295,78.0706,58.1583,
1/4/2003,76.30862345,86.58879124,76.51720008,107.3923,84.8429,76.2886,57.7845,
1/5/2003,87.63843021,88.7385824,78.50373545,112.4511,88.0495,73.1139,61.4383,
1/6/2003,100.7289205,88.50998848,76.62035448,110.2867,87.1555,75.8816,62.5229,
1/7/2003,86.29448942,89.92035933,75.76937772,113.4588,86.9609,79.043,63.8669,
1/8/2003,70.41856852,90.56314967,73.80110351,114.4863,86.5494,81.8255,63.2079,
1/9/2003,68.49829559,89.76944086,73.96161373,109.448,87.5341,81.2702,62.5163,
1/10/2003,69.0315562,92.1142122,76.94895277,113.698,91.3902,79.2033,61.7828,
1/11/2003,109.7181321,87.16167484,75.61157778,109.5409,86.3826,72.8607,60.5479,
1/12/2003,111.1120654,89.23808916,78.71062143,115.3143,85.4502,78.7124,58.1908,
1/1/2004,106.6980003,90.62396031,74.34866357,116.6562,84.8867,83.5994,63,
1/2/2004,87.08821729,87.63734862,74.19467159,107.8778,84.0907,81.1006,61.8391,
1/3/2004,79.05485845,95.1665419,79.64430164,115.9596,92.7563,86.4438,65.6008,
1/4/2004,78.56885843,90.99718579,78.76353106,112.5154,87.6864,82.9185,64.319,
1/5/2004,90.34383817,91.87466454,81.36566376,115.71,89.4365,79.2702,67.4811,
1/6/2004,98.24648064,92.86591021,81.03629385,113.1284,90.9028,82.5137,69.1705,
1/7/2004,83.48873062,92.17359664,77.88080935,112.7953,89.2658,83.0474,70.6741,
1/8/2004,68.02182577,93.28556627,78.36103023,113.6482,90.8364,83.5961,70.962,
1/9/2004,65.611203,93.59537285,76.82213908,111.7593,91.0103,86.4769,70.3452,
1/10/2004,73.4868333,94.85267031,79.19422949,116.2737,92.9187,83.636,69.6619,
1/11/2004,115.6004223,91.94486454,81.17504354,110.5137,91.0513,81.17,67.0582,
1/12/2004,113.8495273,91.63171314,81.89505758,110.3985,89.1235,84.4367,65.1,
1/1/2005,97.84772868,92.06422652,76.12894044,116.5095,86.2521,85.8933,68.4969,3.95199787
1/2/2005,84.21441963,89.16606861,76.22743734,105.0438,86.8289,83.3684,67.5524,3.77330244
1/3/2005,73.92945161,93.26791341,78.86099142,113.9724,89.5728,86.3354,68.8073,3.62707537
1/4/2005,77.87828126,95.22123041,82.33143188,113.9507,93.0715,86.9969,70.1875,3.36341228
1/5/2005,89.26809033,95.29989991,83.78072098,119.1425,92.6022,82.6473,73.8511,3.30369265
1/6/2005,85.55102337,94.26134679,82.08227418,115.1967,91.3023,84.2156,76.3827,3.4821565
1/7/2005,91.47905695,91.00674254,79.46039072,106.9636,88.086,84.6536,77.9375,3.9233627
1/8/2005,71.25309443,96.51345221,81.70182596,118.2698,93.3986,86.423,76.6198,3.67007975
1/9/2005,64.60329216,95.23220515,79.8816889,111.0845,93.1877,88.3797,75.8817,3.578426
1/10/2005,71.32689195,96.44389617,82.40908388,111.8306,96.2046,86.5567,75.2879,3.38599539
1/11/2005,108.0864704,95.68430893,83.84862189,111.3434,95.1113,86.5765,72.8974,2.93981529
1/12/2005,104.7714994,96.28400842,84.47664665,116.9409,91.6676,91.9247,69.0114,2.77001059
1/1/2006,107.6875794,96.12284578,81.05845776,118.2727,92.1598,88.0146,73.4921,3.47786875
