Date,p,m0,r,y
2000/01,59.80832658,157161287,18.55,99.42068119
2000/02,60.33884472,150126022,18.15,96.70522223
2000/03,60.6733558,152919896,15.77,103.6896164
2000/04,61.01856512,158846323,14.74,96.09979791
2000/05,61.24666691,157679406,15.92,104.7528634
2000/06,61.60945191,165529481,17.44,105.2201868
2000/07,61.84978026,162172830,15.13,104.3600197
2000/08,62.18964046,157692618,16.62,107.5440995
2000/09,62.64393363,161376238,16.77,104.1316521
2000/10,63.075302,162822860,17.38,105.6095749
2000/11,63.61460798,175112072,18.64,103.3570925
2000/12,64.30330726,208879867,18.39,97.54140854
2001/01,64.65978794,181718698,18.62,99.76348766
2001/02,64.61699498,175896436,18.12,93.77116319
2001/03,65.02639374,176028084,17.28,101.1009121
2001/04,65.35440947,174570670,16.36,92.87574155
2001/05,65.50437588,178269919,14.09,101.3047916
2001/06,65.65930934,180702903,11.64,101.2327906
2001/07,65.4887106,178256186,11.1,101.7019556
2001/08,65.87671289,178960066,9.29,103.8686978
2001/09,66.48995136,182150763,10.95,99.588663
2001/10,66.79045731,181038815,10.34,102.0562905
2001/11,67.04205702,193892127,8.9,101.0136863
2001/12,67.13490247,225222732,7.94,96.19346597
2002/01,67.7546363,206861996,7.97,97.34068011
2002/02,67.71107918,202219512,8.99,92.03937811
2002/03,68.05743473,215888760,8.47,94.81108015
2002/04,68.42919862,201136312,6.85,99.82648708
2002/05,68.56789368,209329007,7.73,101.9428036
2002/06,68.90221371,211830242,8.42,100.0183962
2002/07,69.10001172,209417287,8.34,102.3258967
2002/08,69.36274679,210266104,7.61,102.9125427
2002/09,69.77995076,210993609,8.37,98.98884155
2002/10,70.0875094,213941744,8.67,104.4061652
2002/11,70.65435513,227456663,8.33,99.97709028
2002/12,70.96191376,263936897,8.26,96.34592771
2003/01,71.24878459,246101980,9.14,98.70623594
2003/02,71.44669788,241402098,9.91,94.78682134
2003/03,71.89769193,237849553,9.96,101.6656929
2003/04,72.02043955,243730756,8.58,97.70335872
2003/05,71.78804659,246356274,5.92,101.5624239
2003/06,71.84735162,240017485,5.79,100.9042996
