"","Valor.Real","VAR.PLS","VAR","2.5%","97.5%","t"
"V1",19.1902,19.1923472407353,17.8521207302483,17.6723126408635,20.7335061490635,2019-02-01
"V2",19.2339,19.1777889949625,17.1342949363908,17.606928081641,20.7760370327565,2019-03-01
"V3",19.0231,19.2248047196207,16.9875502048986,17.6937473100954,20.7863763781941,2019-04-01
"V4",19.0883,19.1791590338349,16.7143213643521,17.6659342748289,20.7288557074968,2019-05-01
"V5",19.2912,19.152529106761,16.79736502348,17.6508994393353,20.6955953286966,2019-06-01
"V6",19.0669,19.1448897741439,16.3995546921524,17.6529728342551,20.679665017389,2019-07-01
"V7",19.5896,19.1769550574622,15.2188548840735,17.6913531334281,20.7076305068152,2019-08-01
"V8",19.6242,19.1800392389148,15.1184432804133,17.6960361231271,20.7072767426533,2019-09-01
"V9",19.3701,19.206045735699,14.9350377272609,17.7230084153721,20.734738350886,2019-10-01
"V10",19.2931,19.1562116528636,14.3811901814177,17.6787824707307,20.6850932224485,2019-11-01
"V11",19.1776,19.1792429094919,13.9558427091408,17.6911071052586,20.7111318947016,2019-12-01
"V12",18.806,19.182726979977,13.5783665998912,17.701970385795,20.7075835720339,2020-01-01
